"did1","did2","dataset_name1","dataset_name2","num_instances","num_attributes","dimensionality","num_numeric_attr","pct_numeric_attr","num_nominal_attr","pct_nominal_attr","avg_nominal_values","sd_nominal_values","min_nominal_values","max_nominal_values","avg_numeric_mean","sd_numeric_mean","min_numeric_mean","max_numeric_mean","missing_attr_cnt","missing_attr_pct","missing_instances_max_cnt","missing_instances_max_pct","missing_instances_min_cnt","missing_instances_min_pct","missing_instances_mean","missing_instances_mean_pct","datesets_subject_main_match","datesets_duplicates_match"
171,1489,"primary-tumor","phoneme",0.937269,0.666667,0.97909,1,1,0.944444,0.833333,0.37931,1,0,0.904762,0,0,0,0,1,1,1,1,1,1,1,1,0,0
171,542,"primary-tumor","pollution",0.823009,0.111111,0.800885,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
171,1119,"primary-tumor","adult-census",0.989589,0.111111,0.990746,1,1,0.5,0.4375,0.712871,0.622302,0,0.487805,1,1,1,1,0.4,0.325,0.915898,0.876207,0.998285,0.835248,0.953074,0.778137,0,0
171,1050,"primary-tumor","pc3",0.783109,0.526316,0.54212,1,1,0.944444,0.973684,0.37931,1,0,0.904762,1,1,0,1,1,1,1,1,1,1,1,1,0,0
171,1045,"primary-tumor","kc1-top5",0.572271,0.810526,0.918957,1,1,0.944444,0.989474,0.37931,1,0,0.904762,1,1,0,1,1,1,1,1,1,1,1,1,0,0
171,510,"primary-tumor","sleep",0.817109,0.388889,0.700724,1,1,0.944444,0.909091,0.948029,1,0.967742,0.66129,1,1,1,1,0,0.388889,0.909677,0.506139,0.75,0.954277,0.723636,0.338224,0,0
171,577,"primary-tumor","kdd_coil_6",0.0678466,0.333333,0.28481,1,1,0.833333,0.75,0.0333333,0.891071,0.333333,0.809524,1,1,1,1,0.375,0.583333,0.851613,0.840813,0.5,0.533923,0.626667,0.599494,0,0
171,573,"primary-tumor","cpu_act",0.958618,0.181818,0.949422,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
171,1516,"primary-tumor","robot-failures-lp1",0.740413,0.802198,0.948653,1,1,0.944444,0.989011,0.194444,1,0.5,0.809524,1,1,1,1,1,1,1,1,1,1,1,1,0,0
171,1065,"primary-tumor","kc3",0.259825,0.55,0.392035,1,1,0.944444,0.975,0.37931,1,0,0.904762,1,1,0,1,1,1,1,1,1,1,1,1,0,0
171,578,"primary-tumor","kdd_coil_7",0.0678466,0.333333,0.28481,1,1,0.833333,0.75,0.0333333,0.891071,0.333333,0.809524,1,1,1,1,0.375,0.583333,0.851613,0.840813,0.5,0.533923,0.626667,0.599494,0,0
171,666,"primary-tumor","rmftsa_ladata",0.332677,0.388889,0.592192,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
171,211,"primary-tumor","longley",0.952802,0.611111,0.878635,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
171,1510,"primary-tumor","wdbc",0.404218,0.419355,0.0254068,1,1,0.944444,0.967742,0.37931,1,0,0.904762,1,1,0,1,1,1,1,1,1,1,1,1,1,0
171,679,"primary-tumor","rmftsa_sleepdata",0.668945,0.833333,0.944824,1,1,0.944444,0.666667,0.194444,1,0.5,0.809524,1,1,1,1,1,1,1,1,1,1,1,1,0,0
171,1509,"primary-tumor","walking-activity",0.99773,0.722222,0.999369,1,1,0.944444,0.8,0.853535,1,0.909091,0.0454545,1,1,1,1,1,1,1,1,1,1,1,1,0,0
171,179,"primary-tumor","adult",0.993059,0.166667,0.994216,1,1,0.277778,0.133333,0.653811,0.565355,0,0.487805,1,1,1,1,0.4,0.28,0.94482,0.874216,0.998833,0.831882,0.970998,0.760683,0,0
171,1091,"primary-tumor","SMSA",0.825959,0.0555556,0.815721,1,1,0.944444,0.941176,0.945386,1,0.966102,0.644068,1,1,1,1,1,1,1,1,1,1,1,1,0,0
171,1038,"primary-tumor","gina_agnostic",0.902249,0.981462,0.810359,1,1,0.944444,0.99897,0.37931,1,0,0.904762,1,1,1,1,1,1,1,1,1,1,1,1,0,0
171,4544,"primary-tumor","GeographicalOriginalofMusic",0.679887,0.847458,0.523474,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0
171,570,"primary-tumor","kdd_coil_3",0.0678466,0.333333,0.28481,1,1,0.833333,0.75,0.0333333,0.891071,0.333333,0.809524,1,1,1,1,0.375,0.583333,0.851613,0.840813,0.5,0.533923,0.626667,0.599494,0,0
171,4552,"primary-tumor","BachChoralHarmony",0.940159,0.0555556,0.943483,1,1,0.166667,0.117647,0.763072,0.845557,0,0.794118,1,1,1,1,1,1,1,1,1,1,1,1,0,0
171,1499,"primary-tumor","seeds",0.380531,0.555556,0.28254,1,1,0.944444,0.875,0.0689655,1,0.333333,0.857143,1,1,1,1,1,1,1,1,1,1,1,1,0,0
171,225,"primary-tumor","puma8NH",0.958618,0.5,0.979309,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0
171,488,"primary-tumor","colleges_aaup",0.70801,0.0555556,0.724232,1,1,0.833333,0.823529,0.991917,0.99175,0.5,0.981579,1,1,1,1,0.166667,0.212963,0.56129,0.871901,0.958333,0.857301,0.169922,0.648238,0,0
171,172,"primary-tumor","shuttle-landing-control",0.955752,0.611111,0.88622,0,0,0.611111,0,0.20197,0.791223,0,0.809524,0,0,0,0,0,0.611111,0.948387,0.142699,0.5,0.977876,0.702857,0.851089,0,0
171,1462,"primary-tumor","banknote-authentication",0.752915,0.722222,0.931365,1,1,0.944444,0.8,0.37931,1,0,0.904762,1,1,1,1,1,1,1,1,1,1,1,1,0,0
171,327,"primary-tumor","bridges",0.690265,0.277778,0.571137,1,1,0.444444,0.230769,0.826762,0.86698,0,0.8,1,1,1,1,0.285714,0.484127,0.845161,0.500092,0,0.690265,0.624615,0.174888,0,0
171,1478,"primary-tumor","har",0.967084,0.967972,0.0269581,1,1,0.944444,0.998221,0.462963,1,0.666667,0.714286,1,1,1,1,1,1,1,1,1,1,1,1,0,0
171,187,"primary-tumor","wine",0.474926,0.222222,0.324905,1,1,0.944444,0.928571,0.0689655,1,0.333333,0.857143,1,1,0,1,1,1,1,1,1,1,1,1,0,0
171,1042,"primary-tumor","gina_prior",0.902249,0.97707,0.765425,1,1,0.944444,0.998726,0.37931,1,0,0.904762,1,1,0,1,1,1,1,1,1,1,1,1,0,0
171,189,"primary-tumor","kin8nm",0.958618,0.5,0.979309,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0
171,1597,"primary-tumor","creditcard",0.99881,0.419355,0.99795,1,1,0.944444,0.967742,0.37931,1,0,0.904762,1,1,0,1,1,1,1,1,1,1,1,1,0,0
171,534,"primary-tumor","cps_85_wages",0.365169,0.388889,0.612047,1,1,0.611111,0.363636,0.113301,0.686835,0,0.714286,1,1,1,1,1,1,1,1,1,1,1,1,0,0
171,1063,"primary-tumor","kc2",0.350575,0.181818,0.206258,1,1,0.944444,0.954545,0.37931,1,0,0.904762,1,1,0,1,1,1,1,1,1,1,1,1,0,0
171,232,"primary-tumor","fishcatch",0.533923,0.555556,0.0464135,1,1,0.888889,0.75,0.283951,0.422317,0,0.666667,1,1,1,1,0.8,0.55,0.43871,0.169633,0.988506,0.994643,0.13,0.46428,0,0
171,1500,"primary-tumor","seismic-bumps",0.380531,0.555556,0.28254,1,1,0.944444,0.875,0.0689655,1,0.333333,0.857143,1,1,1,1,1,1,1,1,1,1,1,1,0,0
171,1093,"primary-tumor","Brainsize",0.882006,0.611111,0.696587,1,1,0.944444,0.857143,0.37931,1,0,0.904762,1,1,1,1,0.6,0.0277777,0.987097,0.890645,0,0.882006,0.965714,0.709429,0,0
171,544,"primary-tumor","transplant",0.613569,0.777778,0.424936,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
171,1514,"primary-tumor","micro-mass",0.0583333,0.986165,0.985307,1,1,0.944444,0.999231,0.677778,1,0.8,0.52381,1,1,0,1,1,1,1,1,1,1,1,1,0,0
171,470,"primary-tumor","profb",0.495536,0.444444,0.719742,1,1,0.722222,0.5,0.744268,0.65684,0.5,0.25,1,1,1,1,0.6,0.28,0.757813,0.519912,0.998214,0.99646,0.895833,0.79351,0,0
171,477,"primary-tumor","fl2000",0.80236,0.0555556,0.790734,1,1,0.833333,0.823529,0.869369,0.855549,0,0.686567,1,1,0,1,1,1,1,1,1,1,1,1,0,0
171,1114,"primary-tumor","KDDCup09_upselling",0.99322,0.922078,0.91299,1,1,0.538462,0.831169,0.998243,0.998946,0.5,0.998638,1,1,1,1,0.976303,0.695893,0.9969,0.542773,0,0.99322,0.99964,0.946925,0,0
171,301,"primary-tumor","ozone_level",0.866325,0.753425,0.457873,1,1,0.75,0.0136987,0.989783,0.98889,0.964286,0.987559,0,0,0,0,1,1,1,1,1,1,1,1,0,0
171,1472,"primary-tumor","energy-efficiency",0.558594,0.444444,0.754774,1,1,0.888889,0.8,0.914074,0.884463,0.945946,0.447368,1,1,0,1,1,1,1,1,1,1,1,1,0,0
171,216,"primary-tumor","elevators",0.979577,0.0526316,0.978442,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0
171,480,"primary-tumor","prnn_viruses",0.820059,0.0526316,0.82953,1,1,0.5,0.526316,0.546875,0.49557,0.5,0.52381,1,1,1,1,1,1,1,1,1,1,1,1,0,0
171,1502,"primary-tumor","skin-segmentation",0.998617,0.777778,0.999693,1,1,0.944444,0.75,0.37931,1,0,0.904762,1,1,1,1,1,1,1,1,1,1,1,1,0,0
171,1083,"primary-tumor","mouseType",0.368732,0.999601,0.999748,1,1,0.944444,0.999978,0.539683,1,0.714286,0.666667,1,1,1,1,1,1,1,1,1,1,1,1,0,0
171,562,"primary-tumor","cpu_small",0.958618,0.277778,0.970113,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
171,1054,"primary-tumor","mc2",0.525074,0.55,0.786283,1,1,0.944444,0.975,0.37931,1,0,0.904762,1,1,0,1,1,1,1,1,1,1,1,1,0,0
171,300,"primary-tumor","isolet",0.956522,0.970874,0.330097,1,1,0.944444,0.998382,0.876068,1,0.923077,0.192308,1,1,1,1,1,1,1,1,1,1,1,1,0,0
171,1519,"primary-tumor","robot-failures-lp4",0.654867,0.802198,0.931732,1,1,0.944444,0.989011,0.0689655,1,0.333333,0.857143,1,1,1,1,1,1,1,1,1,1,1,1,0,0
171,541,"primary-tumor","socmob",0.706747,0.666667,0.902249,1,1,0.777778,0.333333,0.660819,0.422982,0,0.190476,1,1,1,1,1,1,1,1,1,1,1,1,0,0
171,343,"primary-tumor","white-clover",0.814159,0.4375,0.895465,1,1,0.722222,0.84375,0.194444,0.642023,0.333333,0.666667,1,1,0,1,1,1,1,1,1,1,1,1,0,0
171,1067,"primary-tumor","kc1",0.83926,0.181818,0.80354,1,1,0.944444,0.954545,0.37931,1,0,0.904762,1,1,0,1,1,1,1,1,1,1,1,1,0,0
171,1029,"primary-tumor","LEV",0.661,0.722222,0.905833,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0
171,1503,"primary-tumor","spoken-arabic-digit",0.998712,0.166667,0.998927,1,1,0.944444,0.933333,0.677778,1,0.8,0.52381,1,1,1,1,1,1,1,1,1,1,1,1,0,0
171,686,"primary-tumor","rmftsa_ctoarrivals",0.221239,0.833333,0.785985,1,1,0.944444,0.666667,0.731481,1,0.833333,0.428571,1,1,1,1,1,1,1,1,1,1,1,1,0,0
171,505,"primary-tumor","tecator",0.292035,0.856,0.898053,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0
171,1056,"primary-tumor","mc1",0.964188,0.538462,0.922407,1,1,0.944444,0.974359,0.37931,1,0,0.904762,1,1,0,1,1,1,1,1,1,1,1,1,0,0
171,1487,"primary-tumor","ozone-level-8hr",0.866219,0.753425,0.457445,1,1,0.944444,0.986301,0.37931,1,0,0.904762,1,1,1,1,1,1,1,1,1,1,1,1,0,0
171,328,"primary-tumor","bridges",0.690265,0.277778,0.571137,0,0,0.277778,0,0.787366,0.851896,0,0.8,0,0,0,0,0.285714,0.484127,0.845161,0.500092,0,0.690265,0.624615,0.174888,0,0
171,1490,"primary-tumor","planning-relax",0.463127,0.277778,0.256637,1,1,0.944444,0.923077,0.37931,1,0,0.904762,0,0,0,0,1,1,1,1,1,1,1,1,0,0
171,1059,"primary-tumor","ar1",0.643068,0.4,0.785841,1,1,0.944444,0.966667,0.37931,1,0,0.904762,1,1,0,1,1,1,1,1,1,1,1,1,0,0
171,1511,"primary-tumor","wholesale-customers",0.229545,0.5,0.614773,1,1,0.888889,0.777778,0.224138,0.884463,0,0.857143,1,1,1,1,1,1,1,1,1,1,1,1,0,0
171,1075,"primary-tumor","datatrieve",0.616519,0.5,0.233038,1,1,0.944444,0.888889,0.37931,1,0,0.904762,1,1,1,1,1,1,1,1,1,1,1,1,0,0
171,511,"primary-tumor","plasma_retinol",0.0707965,0.222222,0.162963,1,1,0.833333,0.785714,0.172414,0.891071,0,0.857143,1,1,1,1,1,1,1,1,1,1,1,1,0,0
171,4549,"primary-tumor","Buzzinsocialmedia_Twitter",0.999419,0.769231,0.997481,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0
171,1086,"primary-tumor","ovarianTumour",0.165192,0.99967,0.999725,1,1,0.944444,0.999982,0.0689655,1,0.333333,0.857143,1,1,1,1,1,1,1,1,1,1,1,1,0,0
171,563,"primary-tumor","kdd_el_nino-small",0.566496,0.5,0.783248,1,1,0.888889,0.777778,0.91172,0.807661,0.857143,0.644068,1,1,1,1,0,0.5,0.0189873,0.558106,0.986301,0.9684,0.79128,0.518528,0,0
171,285,"primary-tumor","flags",0.427729,0.4,0.656637,1,1,0.357143,0.0666666,0.718056,0.877398,0,0.891753,1,1,1,1,1,1,1,1,1,1,1,1,0,0
171,180,"primary-tumor","covertype",0.996929,0.672727,0.990617,1,1,0.560976,0.254545,0.341463,0.821776,0,0.666667,1,1,0,1,1,1,1,1,1,1,1,1,0,0
171,227,"primary-tumor","cpu_small",0.958618,0.277778,0.970113,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
171,538,"primary-tumor","colleges_usnews",0.739631,0.485714,0.493728,1,1,0.888889,0.942857,0.995136,0.992923,0.960784,0.983516,1,1,1,1,0.83871,0.68638,0.757433,0.0683729,0.5,0.479263,0.944816,0.788054,0,0
171,1088,"primary-tumor","variousCancers_final",0.114883,0.999671,0.999628,1,1,0.944444,0.999982,0.641975,1,0.777778,0.571429,1,1,0,1,1,1,1,1,1,1,1,1,0,0
171,554,"primary-tumor","mnist_784",0.995157,0.97707,0.788798,1,1,0.944444,0.998726,0.677778,1,0.8,0.52381,1,1,0,1,1,1,1,1,1,1,1,1,0,0
171,222,"primary-tumor","echoMonths",0.616519,0.444444,0.309735,1,1,0.833333,0.7,0.37931,1,0,0.904762,1,1,0,1,0.285714,0.603175,0.632258,0.0410422,0,0.616519,0.224,0.505824,1,0
171,1518,"primary-tumor","robot-failures-lp3",0.861357,0.802198,0.972576,1,1,0.944444,0.989011,0.194444,1,0.5,0.809524,1,1,1,1,1,1,1,1,1,1,1,1,0,0
171,567,"primary-tumor","kdd_coil_1",0.0678466,0.333333,0.28481,1,1,0.833333,0.75,0.0333333,0.891071,0.333333,0.809524,1,1,1,1,0.375,0.583333,0.851613,0.840813,0.5,0.533923,0.626667,0.599494,0,0
171,1471,"primary-tumor","eeg-eye-state",0.97737,0.166667,0.981142,1,1,0.944444,0.933333,0.37931,1,0,0.904762,1,1,1,1,1,1,1,1,1,1,1,1,0,0
171,473,"primary-tumor","cjs",0.878755,0.485714,0.764247,1,1,0.833333,0.914286,0.86758,0.813114,0.666667,0.631579,1,1,0,1,0.827586,0.664751,0.944544,0.542609,0.916667,0.312684,0.993576,0.947013,0,0
171,203,"primary-tumor","lowbwt",0.442478,0.444444,0.00352733,1,1,0.611111,0.3,0.0689655,0.673213,0,0.714286,1,1,1,1,1,1,1,1,1,1,1,1,0,0
171,1501,"primary-tumor","semeion",0.787194,0.929961,0.670879,1,1,0.944444,0.996109,0.677778,1,0.8,0.52381,1,1,0,1,1,1,1,1,1,1,1,1,0,0
171,483,"primary-tumor","iq_brain_size",0.941003,0.5,0.882006,1,1,0.833333,0.666667,0.309524,0.128568,0,0.52381,1,1,1,1,1,1,1,1,1,1,1,1,0,0
171,451,"primary-tumor","irish",0.322,0.666667,0.774,1,1,0.777778,0.333333,0.24183,0.227113,0,0.52381,1,1,1,1,0.6,0.166667,0.832258,0.886271,0.833333,0.754179,0.573333,0.71072,0,0
171,4532,"primary-tumor","higgs",0.996543,0.37931,0.99443,1,1,1,1,1,1,1,1,1,1,0,1,0.444444,0.104938,0.993548,0.999978,0,0.996543,0.975172,0.999914,0,0
171,205,"primary-tumor","sleep",0.817109,0.555556,0.588496,1,1,1,1,1,1,1,1,1,1,1,1,0.4,0.259259,0.974194,0.858897,0.75,0.954277,0.88,0.343871,0,0
171,224,"primary-tumor","breastTumor",0.156342,0.444444,0.341492,1,1,0.555556,0.2,0.303303,0.159079,0,0.142857,1,1,1,1,0.6,0.28,0.948387,0.938822,0,0.156342,0.928,0.914657,1,0
171,1049,"primary-tumor","pc4",0.76749,0.526316,0.509145,1,1,0.944444,0.973684,0.37931,1,0,0.904762,1,1,0,1,1,1,1,1,1,1,1,1,0,0
171,1168,"primary-tumor","electricity_prices_ICON",0.991082,0,0.991082,1,1,0.944444,0.944444,0.785185,1,0.866667,0.285714,1,1,0,1,0.444444,0.444444,0.481605,0.982797,0.5,0.982165,0.63651,0.975466,0,0
171,4675,"primary-tumor","Physical_Activity_Recognition_Dataset_Using_Smartphone_Sensors",0.999474,0.388889,0.999678,1,1,0.944444,0.909091,0.462963,1,0.666667,0.714286,1,1,1,1,1,1,1,1,1,1,1,1,0,0
171,1497,"primary-tumor","wall-robot-navigation",0.937867,0.28,0.913704,1,1,0.944444,0.96,0.194444,1,0.5,0.809524,1,1,1,1,1,1,1,1,1,1,1,1,0,0
171,1557,"primary-tumor","abalone",0.918841,0.5,0.959421,1,1,0.888889,0.777778,0.0689655,1,0.333333,0.857143,1,1,0,1,1,1,1,1,1,1,1,1,0,0
171,1096,"primary-tumor","FacultySalaries",0.852507,0.666667,0.557522,1,1,0.944444,0.833333,0.935556,1,0.96,0.58,1,1,0,1,1,1,1,1,1,1,1,1,0,0
171,329,"primary-tumor","hayes-roth",0.528024,0.722222,0.411458,1,1,0.944444,0.8,0.0689655,1,0.333333,0.857143,1,0,1,1,1,1,1,1,1,1,1,1,0,0
171,1089,"primary-tumor","USCrime",0.861357,0.222222,0.821745,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0
171,1477,"primary-tumor","gas-drift-different-concentrations",0.975629,0.861538,0.823988,1,1,0.944444,0.992308,0.462963,1,0.666667,0.714286,1,1,1,1,1,1,1,1,1,1,1,1,0,0
171,1515,"primary-tumor","micro-mass",0.406305,0.986165,0.976696,1,1,0.944444,0.999231,0.838889,1,0.9,0.047619,1,1,0,1,1,1,1,1,1,1,1,1,0,0
171,1036,"primary-tumor","sylva_agnostic",0.97645,0.917051,0.716094,1,1,0.944444,0.995392,0.37931,1,0,0.904762,1,1,0,1,1,1,1,1,1,1,1,1,0,0
171,507,"primary-tumor","space_ga",0.890892,0.611111,0.957569,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
171,1495,"primary-tumor","qualitative-bankruptcy",0.262537,0.611111,0.472667,0,0,0.611111,0,0.113301,0.919141,0,0.857143,0,0,0,0,1,1,1,1,1,1,1,1,0,0
171,230,"primary-tumor","machine_cpu",0.383481,0.611111,0.369218,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
171,1099,"primary-tumor","EgyptianSkulls",0.557522,0.722222,0.372222,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
171,537,"primary-tumor","houses",0.983576,0.5,0.991788,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
171,1064,"primary-tumor","ar6",0.702065,0.4,0.821239,1,1,0.944444,0.966667,0.37931,1,0,0.904762,1,1,0,1,1,1,1,1,1,1,1,1,0,0
171,493,"primary-tumor","wind_correlations",0.867257,0.617021,0.949162,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
171,1476,"primary-tumor","gas-drift",0.975629,0.860465,0.825342,1,1,0.944444,0.992248,0.462963,1,0.666667,0.714286,1,1,1,1,1,1,1,1,1,1,1,1,0,0
171,1525,"primary-tumor","wall-robot-navigation",0.937867,0.833333,0.989644,1,1,0.944444,0.666667,0.194444,1,0.5,0.809524,1,0,1,1,1,1,1,1,1,1,1,1,0,0
171,196,"primary-tumor","autoMpg",0.148241,0.555556,0.621441,1,1,0.833333,0.625,0.539683,0.00164935,0.333333,0.380952,1,1,1,1,0.8,0.55,0.96129,0.967029,0.833333,0.804326,0.94,0.948894,0,0
171,287,"primary-tumor","wine_quality",0.947822,0.333333,0.965215,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0
171,1520,"primary-tumor","robot-failures-lp5",0.516224,0.802198,0.904308,1,1,0.944444,0.989011,0.355556,1,0.6,0.761905,1,1,1,1,1,1,1,1,1,1,1,1,0,0
171,378,"primary-tumor","ipums_la_99-small",0.961669,0.704918,0.8701,0,0,0.704918,0,0.980325,0.99253,0.5,0.994602,0,0,0,0,0.722222,0.0586419,0.974887,0.344829,0.994048,0.844711,0.985198,0.613851,0,0
